Individual,AENP,GNP,MNP,WPP,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012
1,0,0.0023,0.154,0.0104,0.0809,0.0065,0.1609,0.0057,0,0,0,0.1408,0.0051,0,0,0
2,0.1812,0,0,0.0083,0.0038,0.0624,0.085,0.006,0.0017,0.0569,0.0075,0.0475,0.1653,0.2205,0.1647,0.1201
3,0.0022,0.003,0.0729,0.0438,0.0015,0.0051,0.0136,0.1131,0.034,0.1087,0,0.0274,0.0285,0.1263,0,0.0603
4,0.1905,0.01,0.014,0.0041,0.1112,0.012,0.0022,0.0792,0.0057,0.0132,0.0014,0.0551,0.0795,0,0.0499,0.0178
5,0.0007,0.3165,0.0511,0.0504,0.0897,0.0908,0.1972,0.6072,0.0561,0.0535,0.0216,0.0132,0.1619,0.0806,0.0326,0.009
6,0.0001,0.0232,0.0902,0.0083,0.1459,0.0278,0.5909,0.0009,0.0008,0.0309,0,0.3523,0.1412,0.0642,0.0364,0.028
7,0.3398,0.0089,0.0344,0.0298,0.1125,0.0477,0.0454,0.0015,0.0085,0.2606,0.1261,0.0071,0.0255,0.2044,0.047,0
8,0.0009,0.2521,0.068,0.0535,0.6457,0.039,0.0258,0,0.0679,0.098,0.1157,0.008,0.4933,0.0394,0.3514,0
9,0.0893,0,0.0006,0.0017,0.0995,0.0001,0.0101,0.3399,0.019,0.0397,0.0165,0.042,0.2363,0.0995,0.0017,0.1503
10,0.0422,0.0033,0.0373,0.122,0.1449,0.0611,0.0219,0.0081,0.001,0.0946,0,0.0688,0.2455,0.0001,0.1046,0.0184
11,0.1054,0.0615,0.2387,0.047,0.0062,0.003,0.0727,0.0088,0.0069,0.4416,0,0.5294,0.0063,0.2119,0.026,0.0223
12,0.211,0.3699,0.4686,0.1241,0.8595,0.0151,0.0229,0.0168,0,0.0274,0.0012,0.0066,0.1912,0.0958,0.029,0.0071
13,0.0023,0.2097,0.1783,0.1813,0.2026,0.2461,0.0158,0.0131,0.035,0,0.0026,0.0764,0.0039,0.0015,0.1417,0.0294
14,0.1036,0.0051,0.1916,0.0009,0.0822,0.0075,0.2664,0,0.0059,0.019,0.0057,0.0074,0.2145,0.2823,0.1199,0.0055
15,0.2311,0.023,0.0786,0.0087,0,0.0089,0.128,0.0763,0.0533,0.4919,0.0104,0.031,0.0114,0.0565,0.1382,0.0286
16,0.6737,0.0036,0.0074,0.3411,0.0025,0.0003,0.0226,0.0025,0.0045,0.0086,0.0009,0.0199,0.1728,0.1438,0.035,0.003
17,0.0249,0.0638,0.0936,0.0003,0.5059,0.0657,0,0.3359,0.0098,0.058,0.0871,0.01,0.1258,0.0013,0.0039,0.0587
18,0.1134,0.0042,0.0569,0.0296,0,0.2461,0.0254,0.024,0.0072,0.0079,,0.0718,0.0072,0.1157,0.0583,0
19,0.0337,0.0528,0.0467,0.0612,0,0.1028,0.0019,0.0484,0,0.0179,,0.0386,0.0164,0.0296,0.0034,0
20,0.0003,0.2535,0.0165,0.2813,0.0016,0.0631,0.0104,0.0586,0.0049,0.0972,,0.0141,0.1891,0.1398,0.0555,0.0877
21,0.4711,0.0183,0.0036,0.0167,0,0.007,0.0145,0.0533,0.0019,0.4129,,0.0164,0.0015,0.0265,0.1642,0.1841
22,0.0022,,0.2715,0.015,0.0136,0.0175,,0.0099,0.0501,0.0507,,0.0611,0.0164,0.3441,0.0219,0.3905
23,0.1968,,0.5149,0.0482,0.0799,0.0169,,0.0631,0.2169,0.0109,,0.1326,0,0,,0.0108
24,0.0323,,0.0473,0.1268,0.0436,0.0004,,0.0018,0.002,0.0316,,0.1439,0.0541,0.0127,,0.0042
25,0.3145,,0.0166,0.3669,0.1969,0.0376,,0,0,0.4613,,0.0717,0.1572,0.1381,,0.0368
26,0.3701,,0.003,0.3273,0.0859,0,,0.0004,0.228,0.3178,,0.1268,0.0008,0.009,,0.0014
27,0,,0.045,0.0772,0.0482,0.0295,,0.1292,0.1821,0,,0.3217,0.006,0.0321,,0.0018
28,0.1199,,0.121,0.3451,0,0.0034,,0.1162,0.0087,0.0332,,0.4442,0.0983,0.0374,,0.0228
29,0.5291,,0.0234,0.0499,0.0166,0.5824,,0.0012,0.0051,0.0197,,0.0138,0.0832,0,,0.0058
30,0.3553,,0.0027,0.0312,0.0043,0.1264,,0.2082,0.02,0.0103,,0,0.1239,0.1819,,0.0615
31,0.5161,,0.0523,0.0036,0.011,0.0082,,0.0595,0.034,0.0072,,0.0858,0.1764,0.0262,,0
32,0.0597,,0.0685,0.0773,0,0.419,,0.0302,0.0399,0.0865,,0.2105,0.0604,0.0488,,0.0469
33,0.7581,,0.3279,0.0157,0.0165,0.0124,,0.1798,0.0263,0.1084,,0,0.0291,0.0027,,0.0245
34,0,,0.0068,0.1593,0,0.0082,,0.0712,0,0.0203,,0.0104,0.0007,0,,0.0088
35,0.2009,,0.0037,0.118,0.5417,0.0003,,0.4608,0.4633,0.0003,,0.0438,0.2054,0.0102,,0.0216
36,0.0122,,,0.0019,0.2304,0.0188,,0.3663,0.0065,0.1024,,0.272,0.0121,,,0.1366
