Dyad,AENP,GNP,MNP,WPP,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012
1,0,0.3229,0,0,0,0.0265,0.2474,0,0.5,0,0.1705,0,0.0273,0,0,0
2,0.1372,0.0288,0.0695,0.0183,0.0795,0,0,0,0.0503,0.2858,0,0,0,0.0646,0.1653,0
3,0.1039,0,0.1921,0,0.0288,0,0,0.0392,0.3249,0,0.1085,0,0,0.0391,0,0
4,0,0,0.0337,0,0.0818,0,0,0.0865,0.0076,0,0,0,0,0,0,0.0043
5,0,0.0415,0.0149,0,0,0,0.3318,0,0.5955,0,0,0.0942,0.2125,0,0.0375,0
6,0.0595,0,0.1099,0,0.0974,0.039,0.3583,0.0116,0,0.009,0.1635,0.1834,0.5758,0,0,0
7,0.0229,0,0.0597,0.0746,0.0288,0,0,0,0,0.0969,0.0309,0,0.3146,0,0.0421,0
8,0,0,0.0745,0,0,0,0,0,0.1452,0,0.0076,0.2584,0.274,0,0.0877,0
9,0,0,0.0309,0,0,0,0,0,0.24,0.0048,0,0.2089,0.0676,0.5,0,0
10,0.3253,0,0,0.112,0,0,0,0,0.0091,0.0454,0,0.0334,0.0678,0.1261,0,0
11,0.1244,0,0,0,0.0301,0,0,0.2503,0.1131,0,0,0,0.1104,0,0,0
12,0.5,0.5,0.0291,0,0,0,0,0.0449,0,0,0,0,0,0,0,0
13,0,0,0.2983,0,0.1374,0.0019,0.0251,0.0449,0.2506,0.1173,0,0,0,0,0,0
14,0,0.1145,0.0776,0,0.1101,0,0,0.1384,0,0,0,0,0.0517,0,0.0556,0
15,0.0389,0,0.0629,0.0366,0.2347,0,0,0.0735,0,0.054,0.2174,0,0,0,0,0
16,0.25,0.0841,0.2733,0.1459,0.0508,0.0963,0.1244,0.0357,0.4295,0,0.1524,0.0564,0,0.1279,0,0
17,0.0518,0,0,0.0883,0.0929,0,0,0.1785,0,0.0757,0,0.0273,0.8819,0,0,0
18,0,0.0446,0,0,0.3293,0,0,0,0.0559,0,0,0,0.5993,0,0,0.1059
19,0.4691,0,0.0656,0,0,0.0252,0,0.0437,0.0497,0.0813,0.1983,0,0,0,0.0265,0.3643
20,0.074,0,0,0,0,0.0265,0,0.0507,0.0991,0,0,0,0,0.1931,0,0.5
21,0.1485,0.1491,0.0942,0,0.5,0,0,0.0722,0.0875,0.0193,0,0,0,0.5,0.0988,0
22,0,0,0,0.2305,0.1034,0,0,0,0,0.1008,0,0,0.0607,0,0.3311,0.5
23,0.0373,0.0468,0,0.4458,0,0,0,0,0,0,0.5,0,0,0,0.3092,0
24,0,0.1885,0.1045,0.0785,0.0622,0,0.299,0,0,0,0,0.1895,0,0,0.1034,0.4853
25,0.1985,0,0,0,0,0,0.2204,0,0,0,0,0,0.0211,0,0,0.5
26,0.1871,0,0.139,0.0451,0,0,0.0223,0,0.0233,0.0306,0.1558,0,0.0905,0.002,0,0.0202
27,0.0816,0,0,0.1142,0,0,0,0,0.0707,0,0,0.1087,0,0.1859,0,0.5
28,0.0901,0.1224,0.0717,0,0,0,0,0,0,0,0.5,0,0.0514,0,0,0.5
29,0,0,0.0062,0.3255,0.0575,0.2114,0,0,0.2566,0.0515,0.1844,0,0,0,0.1142,0.5
30,0,0,0,0,0.3984,0.1386,0,0,0.052,0.0361,0.3494,0,0,0,0,0.3609
31,0,0.2994,0,0,0,0.073,0,0.1265,0.0004,0,0.0152,0,0.477,0,0,0.5
32,0,0,0,0.025,0.0726,0,0.2548,0,0.3643,0,0,0,0,0,0,0.5
33,0.0497,0,0.1331,0.284,0.077,0.1231,0,0,0.0427,0,0,0,0.1662,0.082,0.0405,0.2901
34,0.0259,0,0.096,0,0.0847,0,0,0.1901,0,0,0,0.3291,0.4391,0.1041,0,0.1219
35,0,0,0,0,0,0,0.2179,0.0693,0.5,0,0.062,0,0.5166,0.0967,0,0.5
36,0,0.0141,0.5289,0,0.0526,0.0487,0,0.4265,0,0,0.0699,0.1168,0.2046,0,0,0.5
37,0.0237,0.0053,0,0.1863,0.0461,0,0,0.043,0,0,0,0,0,0.0535,0.051,0
38,0,0.0184,0,0,0.0523,0,0,0.0683,0,0,0,0.2234,0,0,0,0.0531
39,0,0.1392,0,0.0499,0.2242,0.0516,0,0,0,0.0048,0,0.1762,0,0,0,0
40,0.084,0,0,0.481,0.0868,0.0344,0.0809,0,0,0,0,0,0.1121,0.5,0.0434,0
